dataset,algorithm,corr_threshold,const_threshold,seed,line_number
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.05,145,1
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.05,278,2
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.05,392,3
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.05,49,4
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.05,203,5
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.05,411,6
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.05,89,7
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.05,356,8
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.05,27,9
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.05,489,10
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.1,145,11
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.1,278,12
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.1,392,13
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.1,49,14
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.1,203,15
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.1,411,16
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.1,89,17
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.1,356,18
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.1,27,19
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.1,489,20
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.15,145,21
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.15,278,22
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.15,392,23
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.15,49,24
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.15,203,25
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.15,411,26
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.15,89,27
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.15,356,28
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.15,27,29
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.15,489,30
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.2,145,31
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.2,278,32
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.2,392,33
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.2,49,34
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.2,203,35
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.2,411,36
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.2,89,37
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.2,356,38
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.2,27,39
dados_atuais_listagem_nominal-dv.csv,dt,0.8,0.2,489,40
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.05,145,41
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.05,278,42
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.05,392,43
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.05,49,44
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.05,203,45
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.05,411,46
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.05,89,47
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.05,356,48
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.05,27,49
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.05,489,50
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.1,145,51
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.1,278,52
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.1,392,53
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.1,49,54
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.1,203,55
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.1,411,56
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.1,89,57
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.1,356,58
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.1,27,59
